Club,J1,J2,J3,J4,J5,J6,J7,J8,J9,J10,J11,J12,J13,J14,J15,J16,J17,J18,J19,J20,J21,J22,J23,J24,J25,J26,année
Castres olympique,2,2,8,10,6,4,9,10,9,9,8,6,5,8,5,7,4,4,3,5,,,,,5,5,2016
ASM Clermont,6,5,4,2,1,3,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2.0,2.0,2.0,2.0,2,2,2016
FC Grenoble,14,14,14,14,14,14,14,13,13,13,13,14,14,13,13,13,13,13,13,13,13.0,13.0,13.0,13.0,13,13,2016
Lyon OU,9,11,7,11,9,12,12,9,11,10,10,11,12,12,12,12,12,12,12,11,11.0,11.0,9.0,7.0,9,10,2016
Montpellier HR,12,12,12,5,3,2,4,3,3,5,4,4,2,2,3,3,3,3,4,3,,,,,3,3,2016
Section paloise,13,13,9,12,10,8,10,12,12,12,11,12,11,10,9,8,6,6,5,4,5.0,6.0,7.0,10.0,8,9,2016
Racing 92,11,8,3,8,5,7,11,8,7,7,7,7,8,5,8,6,8,7,7,7,,,,,6,6,2016
Stade rochelais,7,6,2,1,2,1,2,2,4,2,2,3,4,3,2,2,1,2,1,1,1.0,1.0,1.0,1.0,1,1,2016
Stade français Paris,1,7,6,3,7,11,8,11,8,11,12,10,9,11,10,11,11,11,10,12,,,,,7,7,2016
RC Toulon,10,10,11,4,8,5,3,4,2,3,3,5,3,4,4,5,5,5,6,6,4.0,4.0,4.0,4.0,4,4,2016
Stade toulousain,3,1,5,9,11,10,5,6,5,4,6,8,7,7,6,4,7,8,8,10,7.0,10.0,12.0,12.0,12,12,2016
SU Agen,14,11,11,12,12,13,13,13,12,12,12,13,12,13,13,13,13,12,11,12,11,11,11,11,11,11,2017
Union Bordeaux Bègles,5,8,5,9,7,6,5,6,7,6,7,8,8,8,8,9,9,9,9,10,10,10,9,10,10,10,2017
CA Brive,12,14,14,14,14,14,14,14,13,13,13,12,13,12,12,12,12,13,13,13,14,13,13,14,14,14,2017
Castres olympique,9,3,7,10,10,10,11,10,8,7,6,5,3,3,4,4,7,5,6,7,8,8,8,6,6,6,2017
ASM Clermont,10,9,13,7,8,9,9,9,10,9,9,9,10,10,10,10,10,10,10,9,9,9,10,9,9,9,2017
Lyon OU,3,2,6,3,3,2,1,1,1,2,3,3,7,7,7,7,6,8,8,6,7,7,7,5,5,5,2017
Montpellier HR,1,1,1,1,1,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2017
US Oyonnax,8,12,9,11,11,12,12,12,14,14,14,14,14,14,14,14,14,14,14,14,13,14,14,13,13,13,2017
Stade français Paris,11,7,12,13,13,11,10,11,11,11,11,11,11,11,11,11,11,11,12,11,12,12,12,12,12,12,2017
Section paloise,13,13,10,8,9,8,7,8,9,10,10,10,9,9,9,8,8,7,4,5,5,6,5,7,8,8,2017
