Club,Dernière montée,Budget en M€,Classement précédent,Entraîneur en chef,Stade,Capacité,année
Union Bordeaux Bègles,2011.0,29.7,3.0,Julien Laïrle  Frédéric Charrier,Stade Chaban-Delmas. Bordeaux,34694.0,2022
Stade toulousain,1907.0,43.7,4.0,Ugo Mola,Stade Ernest-Wallon. Toulouse,19500.0,2022
Stade rochelais,2014.0,30.8,5.0,Ronan O'Gara,Stade Marcel-Deflandre. La Rochelle,16000.0,2022
Racing 92,2009.0,29.4,6.0,Laurent Travers,Paris La Défense Arena. Nanterre,32000.0,2022
ASM Clermont,1925.0,32.5,7.0,Christophe Urios,Stade Marcel-Michelin. Clermont-Ferrand,19022.0,2022
RC Toulon,2008.0,38.3,8.0,Pierre Mignoni,Stade Mayol. Toulon,18200.0,2022
Lyon OU,2016.0,34.6,9.0,Xavier Garbajosa,Matmut Stadium Gerland. Lyon,35029.0,2022
Section paloise,2015.0,24.6,10.0,Sébastien Piqueronies,Stade du Hameau. Pau,14588.0,2022
Stade français Paris,1997.0,41.3,11.0,Gonzalo Quesada,Stade Jean-Bouin. Paris,20000.0,2022
CA Brive,2019.0,19.8,12.0,Patrice Collazo,Stade Amédée-Domenech. Brive-la-Gaillarde,13979.0,2022
USA Perpignan,2021.0,17.8,13.0,Patrick Arlettaz,Stade Aimé-Giral. Perpignan,14593.0,2022
Aviron bayonnais,2022.0,21.6,16.0,Grégory Patat,Stade Jean-Dauger. Bayonne,18069.0,2022
